From date;To date;Event;Link;Category;Event ID
########################################################
## FORMAT: webtrees gramps-historical-facts
## TOPIC: General world history
## REGION: Worldwide
## VERSION: 1.1
## AUTHOR: Kaj Mikkelsen / HistContext contributors
## CONTACT: https://github.com/kajmikkelsen/HistContext
########################################################
1520;1527;Smallpox (New World);https://wikipedia.org/wiki/Smallpox;Health;10e70fcf-75dc-4410-9c07-aa20fd5925de
1629;1631;Great Bubonic Plague of Milan (Italy);https://wikipedia.org/wiki/Italian_plague_of_1629%E2%80%931631;Health;da321b43-b9b8-4697-b261-4adaa2066d8b
1665;1666;Great Bubonic Plague of London (England);https://wikipedia.org/wiki/Great_Plague_of_London;Health;17f8080f-39a3-41d6-b651-bcfa3c14026d
1720;1722;Great Bubonic Plague of Marseille (France);https://wikipedia.org/wiki/Great_Plague_of_Marseille;Health;40f15b23-23cd-4247-a9bc-04483afd662c
1750;;Peak of the Little Ice Age;https://wikipedia.org/wiki/Little_Ice_Age;Disaster;b12bb612-edab-4344-84df-8a2650564eb6
1755;;The Lisbon earthquake occurs;https://wikipedia.org/wiki/1755_Lisbon_earthquake;Disaster;a4465e17-e542-4116-bee2-8a79af01b389
1756;1763;The Seven Years' War is fought among European powers;https://wikipedia.org/wiki/Seven_Years%27_War;Politics;0ce79748-0399-449b-a05c-a6ff0b450263
1769;1770;James Cook explores and maps New Zealand and Australia;https://wikipedia.org/wiki/James_Cook;Science;528a2517-5e14-49af-8855-c64c8dd3cdec
1773;;16 December, the Boston Tea Party.;https://wikipedia.org/wiki/Boston_Tea_Party;History;5246835d-830c-42f2-a147-c55e9ccec5e4
1775;1783;American Revolutionary War;https://wikipedia.org/wiki/American_Revolutionary_War;Politics;5d948351-a6f8-4744-8f45-4bd39a55a713
1783;;Montgolfier brothers invent hot air balloon;https://wikipedia.org/wiki/Hot_air_balloon;Technology;23a3fa85-a6aa-4790-b8cb-b88f80f1480b
1789;1799;French Revolution;https://wikipedia.org/wiki/French_Revolution;Politics;c10862f5-2208-48e6-8c6d-f1aadf75c634
1789;;Declaration of the Rights of Man and of the Citizen adopted;https://wikipedia.org/wiki/Declaration_of_the_Rights_of_Man_and_of_the_Citizen;Politics;3fd05043-697c-4970-9633-66eb0a416e5a
1793;1793;Yellow Fever Epidemic (Philadelphia);https://wikipedia.org/wiki/Yellow_Fever_Epidemic_of_1793;Health;d695e5d8-4b3d-4853-8889-cf703a90d336
1796;;Edward Jenner invents the first smallpox vaccination;https://wikipedia.org/wiki/Smallpox_vaccine;Health;e9b9614a-b2e8-4a3c-ad3c-2f4e76999ac8
1803;1815;Napoleonic Wars;https://wikipedia.org/wiki/Napoleonic_Wars;Politics;498381af-14d1-42d4-b195-4748133c9b3b
1804;;First steam locomotive;https://wikipedia.org/wiki/Steam_locomotive;Technology;22386e90-1764-4600-acc7-5af0de81d886
1816;;The year without a summer;https://wikipedia.org/wiki/Year_Without_a_Summer;Disaster;91ce27e2-4afb-4b75-a99b-3909d75c320e
1817;1824;First Cholera Pandemic (Asia, Europe);https://wikipedia.org/wiki/Cholera_outbreaks_and_pandemics;Health;43045277-cb91-46d5-bf2d-7d3d73c187af
1820;1842;Industrial revolution - child labor;https://wikipedia.org/wiki/Industrial_Revolution;Society;e7a72e2a-17e5-40f5-a12e-0212f5e6a2f0
1825;;First public railway;https://wikipedia.org/wiki/Stockton_and_Darlington_Railway;Technology;d31b6b9a-16a2-416c-a145-48495465e110
1827;;Nicéphore Niépce invents photography.;https://wikipedia.org/wiki/Nic%C3%A9phore_Ni%C3%A9pce;Technology;c697d426-9d66-4648-9600-5ff3ffd96f97
1830;;Beginning of Church of Christ of Latter Day Saints;https://wikipedia.org/wiki/Church_of_Christ_(Latter_Day_Saints);Society;a6135537-2667-4018-8f11-b5945b28b22c
1831;1836;Charles Darwin's journey aboard HMS Beagle;https://wikipedia.org/wiki/Charles_Darwin;Science;a3071d64-fa56-4257-8725-651ec947e457
1837;;Telegraphy patented.;https://wikipedia.org/wiki/Telegraphy;Technology;6706c783-91c1-4076-993a-67e821a0c144
1842;;Anaesthesia used for the first time;https://wikipedia.org/wiki/Anesthesia;Health;c6b41324-4549-494c-a1af-92bc426374b2
1845;1849;The Great Famine of Ireland leads to the Irish diaspora;https://wikipedia.org/wiki/Great_Famine_(Ireland);Disaster;2ad7b2ea-dc2e-4097-901e-c1d38e37f119
1845;;Lunacy Act;https://wikipedia.org/wiki/Lunacy_Act_1845;Politics;f8c31378-1eb5-438c-b80d-ade356d817cf
1855;1860;Third Bubonic Plague Pandemic (China, India, worldwide);https://wikipedia.org/wiki/Third_plague_pandemic;Health;9cb7df6e-3462-47af-9924-78a8fb0ac37d
1859;1869;Suez Canal constructed;https://wikipedia.org/wiki/Suez_Canal;Technology;bbad411c-6af5-4346-a50d-0c598238f181
1861;1865;American Civil War;https://wikipedia.org/wiki/American_Civil_War;Politics;96edb913-fe13-4816-9b07-f0ec5203d069
1863;; Formation of the International Red Cross;https://wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement;Society;a086d0bf-4b53-4a90-a888-5af0370b5e6f
1864;; First Geneva Convention;https://wikipedia.org/wiki/First_Geneva_Convention;Politics;d2e1b81b-09a3-4578-95b2-ee3c62d97180
1869;;Dmitri Mendeleev created the Periodic table;https://wikipedia.org/wiki/Periodic_table;Science;cfdeb9fc-e590-4e5f-8bc6-bc7ae8cad2af
1871;1914;Second Industrial Revolution;https://wikipedia.org/wiki/Second_Industrial_Revolution;Technology;afdee6dc-dd02-4f06-b9c5-3e9e8e9d1ac3
1877;;Thomas Edison invents the phonograph;https://wikipedia.org/wiki/Phonograph;Technology;2d5b8c78-664b-48d1-949f-27eb7d5ca1eb
1886;;Karl Benz sells the first commercial automobile;https://wikipedia.org/wiki/Car;Technology;edfd5416-2d87-4fce-914e-ffa6e17648b1
