date;event;note;type;Event ID
########################################################
## FORMAT: webtrees historic-events
## TOPIC: Historische Ereignisse: Schweiz
## LANGUAGE: de
## REGION: Schweiz
## VERSION: 1.1
## AUTHOR: Peter Jehli-Kamm, baum.jehli.ch
## CONTACT: http://baum.jehli.ch/
########################################################
AUG 1291;Gründung der Alten Eidgenossenschaft;Uri, Schwyz und Unterwalden (Obwalden und Nidwalden) begründen die Eidgenossenschaft.;Historic event: Switzerland;671355cd-e3d9-484e-a96c-5ce0c4753a75
@#DJULIAN@ 15 NOV 1315;Schlacht am Morgarten;"Eidgenossen besiegen Habsburger; siehe [wikipedia {{wikipedia}}](https://{{wikipedia}}.wikipedia.org/wiki/Schlacht_am_Morgarten ).";Historic event: Switzerland;71d74c4b-a841-4a35-a5b9-5b031474a897
1332;Luzern tritt Eidgenossenschaft bei;Stadt Luzern tritt der Eidgenossenschaft bei.;Historic event: Switzerland;cc329d2a-5b2f-4d08-96d3-598fc4a1752d
1351;Zürich tritt Eidgenossenschaft bei;Stadt Zürich tritt der Eidgenossenschaft bei.;Historic event: Switzerland;7473a310-ab91-4650-93dc-d1a9d94549ad
1352;Glarus und Zug treten Eidgenossenschaft bei;Land Glarus sowie Stadt und Land Zug treten der Eidgenossenschaft bei.;Historic event: Switzerland;f25498d0-44e2-4e47-9766-b1a9c40a5f97
1353;Bern tritt Eidgenossenschaft bei;Stadt Bern tritt der Eidgenossenschaft bei.;Historic event: Switzerland;e4503b96-4ee7-4e3e-914d-69dff8f3ef5f
@#DJULIAN@ 18 OCT 1356;Erdbeben in Basel;"mindestens Stärke 9, 100–2.000 Menschen verlieren ihr Leben; siehe [wikipedia {{wikipedia}}](https://{{wikipedia}}.wikipedia.org/wiki/Basler_Erdbeben_1356 ).";Historic event: Switzerland;89209e24-9565-4412-b10d-f6f3f352db44
@#DJULIAN@ 29 JAN 1367;Gründung des Gotteshausbunds;In Rätien wird der Gotteshausbund gegründet.;Historic event: Switzerland;e022b69c-c0c2-4b4a-9420-af2db072be8c
@#DJULIAN@ 21 FEB 1385;Beitritt zum Bund der Reichstätte;Zürich, Bern, Solothurn und Zug treten dem Bund der Reichsstädte bei.;Historic event: Switzerland;fac5d441-57db-4a84-9e9c-a89a9d7d3fab
@#DJULIAN@ 09 JUL 1386;Schlacht bei Sempach;Luzern, Uri, Schwyz und Unterwalden besiegen Habsburg.;Historic event: Switzerland;d23c28bf-62c2-446b-9205-25ec527c3018
FROM @#DJULIAN@ 21 FEB 1388 TO @#DJULIAN@ 22 FEB 1388;Mordnacht von Weesen;In der Nacht werden Glarner und Schwyzer Besatzer von Habsburgern überrascht und gemeuchelt.;Historic event: Switzerland;f23c8550-ff1d-4063-a67f-a1a14c0a6957
@#DJULIAN@ 09 APR 1388;Schlacht bei Näfels;Glarner, Schwyzer und ein paar Urner besiegen Habsburg;Historic event: Switzerland;0c625f90-513a-4f86-8c63-479dbcfbb148
@#DJULIAN@ 11 APR 1388;Weesen brennt;Weesen wird von den Österreichern in Brand gesteckt.;Historic event: Switzerland;ed6cf4dc-2c47-41d3-9467-19c941a7836a
@#DJULIAN@ 02 APR 1389;Fahrtsbrief;Die Glarner beschließen, den Sieg von 1388 alljährlich durch einen Kreuzgang nach Näfels zu feiern.;Historic event: Switzerland;0097fe9b-4fb9-41a7-86e2-c3eadec0df4f
@#DJULIAN@ 14 FEB 1395;Gründung des Grauen Bunds;In Rätien wird der Obere Bund – auch Grauer Bund genannt – gegründet.;Historic event: Switzerland;3242b508-ec5d-4b81-937e-8915b7323145
@#DJULIAN@ 17 JUL 1395;Loskauf von Säckingen;Glarus kauft sich von Säckingen los.;Historic event: Switzerland;2bd1ee8d-193a-48f9-99e3-5cfc2a6ecd9c
